"name","gene","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6"
"gene-SAUSA300_RS01090","gene-SAUSA300_RS01090",2,0,0,0,10,10
"gene-SAUSA300_RS01095","gene-SAUSA300_RS01095",0,0,0,0,0,0
"gene-SAUSA300_RS01100","gene-SAUSA300_RS01100",34,23,12,23,32,17
"gene-SAUSA300_RS01105","gene-SAUSA300_RS01105",85,90,121,112,94,75
"gene-SAUSA300_RS01110","gene-SAUSA300_RS01110",67,74,99,61,71,62
"gene-SAUSA300_RS01115","gene-SAUSA300_RS01115",200,203,185,106,92,103
"gene-SAUSA300_RS01120","gene-SAUSA300_RS01120",161,182,169,69,81,47
"gene-SAUSA300_RS01125","gene-SAUSA300_RS01125",142,176,165,69,59,58
"gene-SAUSA300_RS01130","gene-SAUSA300_RS01130",2,2,0,0,0,0
"gene-SAUSA300_RS01135","gene-SAUSA300_RS01135",13,10,27,78,50,60
"gene-SAUSA300_RS01140","gene-SAUSA300_RS01140",20,12,18,12,2,4
"gene-SAUSA300_RS01145","gene-SAUSA300_RS01145",6,6,6,6,8,6
"gene-SAUSA300_RS01150","gene-SAUSA300_RS01150",2,2,2,4,2,2
"gene-SAUSA300_RS01155","gene-SAUSA300_RS01155",2301,2535,2852,788,812,854
"gene-SAUSA300_RS01160","gene-SAUSA300_RS01160",1347,1491,1828,520,534,568
"gene-SAUSA300_RS01170","gene-SAUSA300_RS01170",0,2,4,2,2,3
"gene-SAUSA300_RS01175","gene-SAUSA300_RS01175",2,4,0,0,2,2
"gene-SAUSA300_RS01180","gene-SAUSA300_RS01180",2,2,0,0,0,0
"gene-SAUSA300_RS01185","gene-SAUSA300_RS01185",0,0,0,0,0,0
"gene-SAUSA300_RS01195","gene-SAUSA300_RS01195",13,14,14,22,30,34
"gene-SAUSA300_RS01200","gene-SAUSA300_RS01200",10,23,14,41,26,24
"gene-SAUSA300_RS01205","gene-SAUSA300_RS01205",10,6,8,27,39,18
"gene-SAUSA300_RS01210","gene-SAUSA300_RS01210",42,30,12,58,123,88
"gene-SAUSA300_RS01215","gene-SAUSA300_RS01215",80,76,79,204,348,288
"gene-SAUSA300_RS01220","gene-SAUSA300_RS01220",2,6,8,0,2,6
"gene-SAUSA300_RS01225","gene-SAUSA300_RS01225",4,4,12,8,16,12
"gene-SAUSA300_RS01230","gene-SAUSA300_RS01230",0,0,2,0,2,2
"gene-SAUSA300_RS01235","gene-SAUSA300_RS01235",1,13,7,20,6,7
"gene-SAUSA300_RS01240","gene-SAUSA300_RS01240",62,66,70,152,126,155
"gene-SAUSA300_RS01245","gene-SAUSA300_RS01245",0,0,0,0,0,0
"gene-SAUSA300_RS01250","gene-SAUSA300_RS01250",13237,13506,10160,9601,9009,9159
"gene-SAUSA300_RS16065","gene-SAUSA300_RS16065",1,0,0,0,0,0
"gene-SAUSA300_RS01260","gene-SAUSA300_RS01260",20,39,30,14,21,14
"gene-SAUSA300_RS01265","gene-SAUSA300_RS01265",4,0,2,0,0,0
